Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption (City (L/100 km),Fuel Consumption(Hwy (L/100 km)),Fuel Consumption(Comb (L/100 km)),CO2 Emissions(g/km),CO2 Rating,Smog Rating,Make_Model
Chevrolet,Colorado 4WD,Pickup truck: Small,2.5,4,A6,X,12.6,9.9,11.4,267,4,6,Chevrolet_Colorado 4WD
Chevrolet,Colorado 4WD,Pickup truck: Small,2.8,4,A6,D,12.2,8.4,10.5,283,4,3,Chevrolet_Colorado 4WD
Chevrolet,Colorado 4WD,Pickup truck: Small,3.6,6,A8,X,14.0,9.9,12.1,283,4,6,Chevrolet_Colorado 4WD
Chevrolet,Colorado ZR2 4WD,Pickup truck: Small,2.8,4,A6,D,13.3,10.6,12.1,326,3,3,Chevrolet_Colorado ZR2 4WD
Chevrolet,Colorado ZR2 4WD,Pickup truck: Small,3.6,6,A8,X,15.0,13.0,14.1,329,3,6,Chevrolet_Colorado ZR2 4WD
Chevrolet,Corvette,Two-seater,6.2,8,AS8,Z,15.1,9.6,12.6,297,4,5,Chevrolet_Corvette
Chevrolet,Equinox,SUV: Small,1.5,4,A6,X,8.9,7.7,8.4,198,6,7,Chevrolet_Equinox
Chevrolet,Equinox AWD,SUV: Small,1.5,4,A6,X,9.4,8.0,8.8,208,6,7,Chevrolet_Equinox AWD
Chevrolet,Malibu,Mid-size,1.5,4,AV,X,8.2,6.6,7.5,175,7,7,Chevrolet_Malibu
Chevrolet,Malibu,Mid-size,2.0,4,A9,Z,10.7,7.1,9.1,213,5,5,Chevrolet_Malibu
Chevrolet,Silverado,Pickup truck: Standard,2.7,4,A8,X,12.5,10.6,11.6,274,4,6,Chevrolet_Silverado
Chevrolet,Silverado,Pickup truck: Standard,3.0,6,A10,D,10.2,7.5,8.9,240,5,3,Chevrolet_Silverado
Chevrolet,Silverado FFV,Pickup truck: Standard,5.3,8,A6,X,16.2,12.3,14.5,341,3,3,Chevrolet_Silverado FFV
Chevrolet,Silverado FFV,Pickup truck: Standard,5.3,8,A6,E,21.5,16.0,19.1,321,3,3,Chevrolet_Silverado FFV
Chevrolet,Silverado,Pickup truck: Standard,5.3,8,A8,X,15.1,11.3,13.4,314,3,6,Chevrolet_Silverado
Chevrolet,Silverado,Pickup truck: Standard,5.3,8,A10,X,14.4,11.3,13.0,304,3,6,Chevrolet_Silverado
